m,Cost,Algorithm
18,257.0,Gurobi
18,1804.0,Gurobi
18,1250.0,Gurobi
18,656.0,Gurobi
19,2740.0,Gurobi
19,4311.0,Gurobi
19,929.0,Gurobi
19,4404.0,Gurobi
19,2668.0,Gurobi
19,1366.0,Gurobi
19,781.0,Gurobi
19,6871.0,Gurobi
19,1856.0,Gurobi
19,2078.0,Gurobi
19,986.0,Gurobi
19,2764.0,Gurobi
19,7836.0,Gurobi
19,781.0,Gurobi
19,5900.0,Gurobi
19,475.0,Gurobi
19,1016.0,Gurobi
19,6532.0,Gurobi
19,751.0,Gurobi
19,2849.0,Gurobi
19,2078.0,Gurobi
19,332.0,Gurobi
19,1455.0,Gurobi
19,1679.0,Gurobi
19,56.0,Gurobi
20,55.0,Gurobi
20,706.0,Gurobi
20,3267.0,Gurobi
20,7019.0,Gurobi
20,12009.0,Gurobi
20,8138.0,Gurobi
20,219.0,Gurobi
20,428.0,Gurobi
20,6248.0,Gurobi
20,5944.0,Gurobi
20,19615.0,Gurobi
20,3078.0,Gurobi
20,3374.0,Gurobi
20,1551.0,Gurobi
20,4102.0,Gurobi
20,4425.0,Gurobi
20,6167.0,Gurobi
20,6383.0,Gurobi
20,6113.0,Gurobi
20,15167.0,Gurobi
20,4987.0,Gurobi
20,7977.0,Gurobi
20,959.0,Gurobi
20,5943.0,Gurobi
20,1133.0,Gurobi
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,1,Greedy
2,0,Greedy
2,0,Greedy
2,1,Greedy
2,0,Greedy
2,0,Greedy
2,0,Greedy
2,1,Greedy
2,1,Greedy
2,0,Greedy
2,1,Greedy
2,0,Greedy
2,0,Greedy
3,1,Greedy
3,1,Greedy
3,0,Greedy
3,2,Greedy
3,0,Greedy
3,0,Greedy
3,0,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
3,0,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
3,2,Greedy
3,0,Greedy
3,1,Greedy
3,1,Greedy
3,0,Greedy
3,1,Greedy
3,1,Greedy
3,1,Greedy
4,0,Greedy
4,0,Greedy
4,0,Greedy
4,0,Greedy
4,2,Greedy
4,1,Greedy
4,1,Greedy
4,1,Greedy
