n,Cost,Algorithm
2,84,Complete Greedy
2,121,Complete Greedy
2,114,Complete Greedy
2,55,Complete Greedy
2,82,Complete Greedy
2,71,Complete Greedy
2,9,Complete Greedy
2,40,Complete Greedy
2,96,Complete Greedy
2,26,Complete Greedy
2,85,Complete Greedy
2,12,Complete Greedy
2,108,Complete Greedy
2,142,Complete Greedy
2,7,Complete Greedy
2,182,Complete Greedy
2,29,Complete Greedy
2,12,Complete Greedy
2,12,Complete Greedy
2,155,Complete Greedy
3,86,Complete Greedy
3,94,Complete Greedy
3,80,Complete Greedy
3,146,Complete Greedy
3,45,Complete Greedy
3,12,Complete Greedy
3,93,Complete Greedy
3,80,Complete Greedy
3,53,Complete Greedy
3,31,Complete Greedy
3,10,Complete Greedy
3,68,Complete Greedy
3,124,Complete Greedy
3,25,Complete Greedy
3,117,Complete Greedy
3,51,Complete Greedy
3,15,Complete Greedy
3,34,Complete Greedy
3,24,Complete Greedy
3,175,Complete Greedy
3,31,Complete Greedy
3,26,Complete Greedy
3,16,Complete Greedy
3,62,Complete Greedy
3,46,Complete Greedy
4,111,Complete Greedy
4,0,Complete Greedy
4,55,Complete Greedy
4,34,Complete Greedy
4,64,Complete Greedy
4,5,Complete Greedy
4,9,Complete Greedy
4,1,Complete Greedy
4,1,Complete Greedy
4,170,Complete Greedy
4,59,Complete Greedy
4,7,Complete Greedy
4,8,Complete Greedy
4,17,Complete Greedy
4,5,Complete Greedy
4,49,Complete Greedy
4,14,Complete Greedy
4,27,Complete Greedy
4,100,Complete Greedy
4,11,Complete Greedy
4,11,Complete Greedy
4,2,Complete Greedy
4,46,Complete Greedy
4,51,Complete Greedy
4,16,Complete Greedy
5,7,Complete Greedy
5,104,Complete Greedy
5,34,Complete Greedy
5,76,Complete Greedy
5,7,Complete Greedy
5,14,Complete Greedy
5,43,Complete Greedy
5,39,Complete Greedy
5,51,Complete Greedy
5,71,Complete Greedy
5,5,Complete Greedy
5,4,Complete Greedy
5,4,Complete Greedy
5,106,Complete Greedy
5,102,Complete Greedy
5,10,Complete Greedy
5,46,Complete Greedy
5,77,Complete Greedy
5,114,Complete Greedy
5,10,Complete Greedy
5,0,Complete Greedy
5,67,Complete Greedy
5,60,Complete Greedy
5,47,Complete Greedy
5,28,Complete Greedy
6,24,Complete Greedy
6,21,Complete Greedy
6,46,Complete Greedy
6,9,Complete Greedy
6,26,Complete Greedy
6,44,Complete Greedy
6,2,Complete Greedy
6,35,Complete Greedy
6,19,Complete Greedy
6,11,Complete Greedy
6,2,Complete Greedy
6,26,Complete Greedy
6,32,Complete Greedy
6,11,Complete Greedy
6,16,Complete Greedy
6,21,Complete Greedy
6,53,Complete Greedy
6,9,Complete Greedy
6,57,Complete Greedy
6,4,Complete Greedy
6,27,Complete Greedy
6,11,Complete Greedy
6,29,Complete Greedy
6,42,Complete Greedy
6,6,Complete Greedy
7,4,Complete Greedy
7,7,Complete Greedy
7,33,Complete Greedy
7,16,Complete Greedy
7,134,Complete Greedy
7,4,Complete Greedy
7,6,Complete Greedy
7,17,Complete Greedy
7,8,Complete Greedy
7,11,Complete Greedy
7,13,Complete Greedy
